"name","type","salience","mentions","text_id"
"Hofstra University","ORGANIZATION",0.3823,1,1
"Lester Holt","PERSON",0.2416,1,1
"Hempstead","LOCATION",0.1667,1,1
"New York","LOCATION",0.1141,1,1
"NBC Nightly News","WORK_OF_ART",0.0509,1,1
"Donald Trump","PERSON",0.2534,1,2
"Commission on Presidential Debates","ORGANIZATION",0.1404,1,2
"Hillary Clinton","PERSON",0.0881,1,2
"America","LOCATION",0.0434,2,3
NA,NA,NA,NA,4
"Democratic","ORGANIZATION",0.0995,1,5
"United States","ORGANIZATION",0.0899,2,5
"Donald J. Trump","PERSON",0.0447,1,5
"Hillary Clinton","PERSON",0.0331,1,5
"Republican","ORGANIZATION",0.0331,1,5
"Donald","PERSON",1,1,6
NA,NA,NA,NA,7
"American","LOCATION",0.0166,1,8
NA,NA,NA,NA,9
"Achieving Prosperity","OTHER",0.1903,1,10
"America","LOCATION",0.0326,1,10
"Americans","PERSON",0.0151,1,10
"Clinton","PERSON",0.5404,1,11
"American","LOCATION",0.0193,1,11
"Lester","PERSON",0.3678,1,12
"Hofstra","ORGANIZATION",0.13,1,12
NA,NA,NA,NA,13
NA,NA,NA,NA,14
NA,NA,NA,NA,15
NA,NA,NA,NA,16
NA,NA,NA,NA,17
"Donald Trump","PERSON",0.7076,1,18
"I. Donald","PERSON",0.0353,1,18
"Clinton","PERSON",1,1,19
"Trump","PERSON",0.5855,1,20
"American","LOCATION",0.0095,1,20
"Lester","PERSON",0.1431,1,21
"China","ORGANIZATION",0.0448,2,21
"Mexico","LOCATION",0.0311,1,21
"Mexico","LOCATION",0.018,1,22
"United States","LOCATION",0.0113,1,22
"Ford","ORGANIZATION",0.3686,1,23
"Michigan","LOCATION",0.1245,1,23
"Ohio","LOCATION",0.1035,1,23
"Hillary","PERSON",0.0848,1,24
"United States","LOCATION",0.0618,1,25
"Carrier","ORGANIZATION",0.0247,1,25
"Mexico","LOCATION",0.018,1,25
"Indianapolis","LOCATION",0.0098,1,25
"Ronald Reagan","PERSON",0.0653,1,26
NA,NA,NA,NA,27
"Clinton","PERSON",1,1,28
NA,NA,NA,NA,29
"Donald","PERSON",0.0376,1,30
NA,NA,NA,NA,31
NA,NA,NA,NA,32
