"text.content","text.beginOffset","text_id"
"Good evening from Hofstra University in Hempstead, New York.",-1,1
"I'm Lester Holt, anchor of ""NBC Nightly News.""",-1,1
"I want to welcome you to the first presidential debate.",-1,1
"The participants tonight are Donald Trump and Hillary Clinton.",-1,2
"This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization.",-1,2
"The commission drafted tonight's format, and the rules have been agreed to by the campaigns.",-1,2
"The 90-minute debate is divided into six segments, each 15 minutes long.",-1,3
"We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.",-1,3
"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.",-1,3
"From that point until the end of the segment, we'll have an open discussion.",-1,3
"The questions are mine and have not been shared with the commission or the campaigns.",-1,4
"The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.",-1,4
"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.",-1,5
"How are you, Donald?",-1,6
"Good luck to you.",-1,7
"Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled.",-1,8
"We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics.",-1,8
"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people.",-1,8
"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values.",-1,9
"So, let's begin.",-1,9
"We're calling this opening segment ""Achieving Prosperity.""",-1,10
"And central to that is jobs.",-1,10
"There are two economic realities in America today.",-1,10
"There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation.",-1,10
"However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck.",-1,10
"Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?",-1,11
"Well, thank you, Lester, and thanks to Hofstra for hosting us.",-1,12
"The central question in this election is really what kind of country we want to be and what kind of future we'll build together.",-1,13
"Today is my granddaughter's second birthday, so I think about this a lot.",-1,13
"First, we have to build an economy that works for everyone, not just those at the top.",-1,13
"That means we need new jobs, good jobs, with rising incomes.",-1,13
"I want us to invest in you.",-1,14
"I want us to invest in your future.",-1,14
"That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business.",-1,14
"We also have to make the economy fairer.",-1,14
"That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.",-1,14
"I also want to see more companies do profit-sharing.",-1,15
"If you help create the profits, you should be able to share in them, not just the executives at the top.",-1,15
"And I want us to do more to support people who are struggling to balance family and work.",-1,16
"I've heard from so many of you about the difficult choices you face and the stresses that you're under.",-1,16
