"polarity","magnitude","text_id"
0.5,1.2,1
-1,1.8,2
-1,1.9,3
-1,0.5,4
-1,0.6,5
-1,0.6,6
1,0,7
0.1,1.2,8
0.4,1.1,9
0,1.4,10
-1,0.7,11
1,0.8,12
1,2.2,13
1,2,14
-1,1,15
0.1,1.9,16
-1,1.3,17
0.9,2.1,18
1,0.6,19
-1,2.1,20
0,3.7,21
0.2,1.9,22
-0.6,2.2,23
0.9,0.6,24
-0.4,1.4,25
0,2.3,26
0.7,1.4,27
-1,0.5,28
1,1.2,29
-0.9,1,30
0,1.2,31
1,0.7,32
1,0.6,33
-0.9,2.3,34
1,0.5,35
-0.7,0.7,36
-1,1,37
-1,0.3,38
-0.1,2.2,39
-0.3,1.1,40
-0.9,3,41
0.5,2.4,42
-0.6,2.6,43
-1,0,44
-0.9,2,45
-1,2.3,46
-1,1.2,47
0,1.2,48
1,1.2,49
1,0,50
-0.7,0.9,51
-1,1.6,52
-1,0.2,53
-1,1.3,54
-1,0.7,55
-1,0.6,56
-0.1,2,57
-1,1.8,58
1,0.2,59
-1,0.1,60
0.9,2.7,61
1,0.2,62
-1,0.3,63
-0.9,1.3,64
-0.3,3.1,65
1,1.4,66
0,1.2,67
-1,0.5,68
-0.5,1.4,69
1,0.2,70
-1,2.3,71
1,0.6,72
1,0.2,73
1,1.5,74
1,0.6,75
1,0.5,76
-1,0.8,77
1,0.1,78
0.3,2.6,79
-0.1,1.7,80
0.8,0.9,81
1,0.6,82
1,0,83
1,0.2,84
-1,1.7,85
-1,0.4,86
-1,0,87
1,0.1,88
-1,0.9,89
0.2,0.3,90
-0.3,1.3,91
-1,2.4,92
-0.9,1.1,93
-1,0.1,94
1,0.7,95
-1,0.8,96
-1,0.9,97
-1,1,98
-1,0.9,99
-1,1,100
-1,0.1,101
-1,0.7,102
-1,0.5,103
1,0.4,104
1,0,105
-1,0,106
-1,0.6,107
0.6,0.9,108
-1,0.4,109
1,0.3,110
-1,0.6,111
-1,0.9,112
1,0.1,113
1,0,114
-1,0,115
-1,0.1,116
0.5,1.2,117
0.3,1.2,118
-1,2.3,119
1,1.4,120
-1,0,121
-0.8,2.1,122
-1,0.8,123
-1,0.2,124
-1,0.8,125
-1,0.8,126
-1,0.5,127
1,0,128
-0.6,1.1,129
1,0,130
-0.2,2.5,131
1,0.2,132
1,0.2,133
-1,0.2,134
1,0,135
1,0,136
-1,0.2,137
-1,0,138
-0.7,2.2,139
1,0.2,140
1,0.1,141
-1,0,142
-1,0.8,143
-1,1.6,144
-1,1.1,145
-1,0.4,146
-0.4,0.4,147
-0.9,1,148
0.3,1,149
-0.1,2.3,150
-1,0.9,151
-1,1.4,152
-1,1.7,153
0.1,1.6,154
-0.1,0.2,155
-0.6,0.8,156
-1,0.7,157
-1,0.7,158
-1,1.3,159
-1,0.4,160
-1,0.9,161
-1,0.5,162
1,0.3,163
-0.2,1.5,164
-1,0.9,165
-0.2,0.5,166
-1,0.2,167
-1,0.4,168
0.4,0,169
-1,1.1,170
1,0,171
-1,0.4,172
-1,1.9,173
-0.3,1.1,174
0.2,2.6,175
1,0,176
-1,3.5,177
-0.1,1.4,178
-1,3.9,179
-1,2.5,180
-0.9,0.3,181
-1,2.1,182
-0.5,1.9,183
-1,0,184
-1,0.5,185
-1,0,186
0,0.7,187
0,2.2,188
-0.4,2.6,189
-0.1,1.6,190
-0.9,2.7,191
-1,0,192
-1,2.3,193
-0.4,1.6,194
0,1.6,195
-0.9,1.7,196
-1,1.8,197
1,0.4,198
-1,1.7,199
-1,2,200
-0.7,2.1,201
-1,1.3,202
-0.9,0.5,203
-1,1.5,204
-1,0.3,205
-0.9,3.5,206
-0.4,0.9,207
-0.8,1.7,208
-1,2.2,209
1,1.2,210
-0.2,1.7,211
1,1.6,212
1,0.9,213
-0.6,3.3,214
-0.5,4.1,215
-1,0.6,216
-0.4,1.1,217
-1,0.3,218
-1,1.6,219
-1,1.4,220
-0.2,2.2,221
-1,0.9,222
1,0.2,223
-1,0.1,224
-1,0.9,225
1,1.7,226
-0.3,1.7,227
-1,1.8,228
-1,0.8,229
-1,0.1,230
1,0.1,231
0.7,1.8,232
0,1,233
0.8,1.6,234
-0.2,2.5,235
0.4,1.3,236
0.9,0.4,237
-0.7,1.1,238
0.7,0.6,239
-1,1.1,240
-1,0.7,241
0.5,1.9,242
0.7,1.8,243
-0.1,1.5,244
0,1.6,245
-0.8,1.2,246
-1,1.2,247
0.2,2,248
1,0.8,249
1,0.5,250
-1,0.9,251
-0.7,3.2,252
-0.5,1.8,253
