"lemma","text.content","text.beginOffset","partOfSpeech.tag","dependencyEdge.headTokenIndex","dependencyEdge.label","text_id","bigram","trigram"
"good","Good",-1,"ADJ",1,"AMOD",1,"good evening","good evening hofstra"
"evening","evening",-1,"NOUN",1,"ROOT",1,"evening hofstra","evening hofstra university"
"hofstra","Hofstra",-1,"NOUN",4,"NN",1,"hofstra university","hofstra university hempstead"
"university","University",-1,"NOUN",2,"POBJ",1,"university hempstead","university hempstead new"
"hempstead","Hempstead",-1,"NOUN",5,"POBJ",1,"hempstead new","hempstead new york"
"new","New",-1,"NOUN",9,"NN",1,"new york","new york i"
"york","York",-1,"NOUN",6,"APPOS",1,"york i","york i lester"
"i","I",-1,"PRON",12,"NSUBJ",1,"i lester","i lester holt"
"lester","Lester",-1,"NOUN",14,"NN",1,"lester holt","lester holt anchor"
"holt","Holt",-1,"NOUN",12,"ATTR",1,"holt anchor","holt anchor nbc"
"anchor","anchor",-1,"NOUN",14,"APPOS",1,"anchor nbc","anchor nbc nightly"
"nbc","NBC",-1,"NOUN",21,"NN",1,"nbc nightly","nbc nightly news"
"nightly","Nightly",-1,"NOUN",21,"NN",1,"nightly news","nightly news i"
"news","News",-1,"NOUN",17,"POBJ",1,"news i","news i want"
"i","I",-1,"PRON",25,"NSUBJ",1,"i want","i want welcome"
"want","want",-1,"VERB",25,"ROOT",1,"want welcome","want welcome first"
"welcome","welcome",-1,"VERB",25,"XCOMP",1,"welcome first","welcome first presidential"
"first","first",-1,"ADJ",33,"AMOD",1,"first presidential","first presidential debate"
"presidential","presidential",-1,"ADJ",33,"AMOD",1,"presidential debate",NA
"debate","debate",-1,"NOUN",29,"POBJ",1,NA,NA
"participant","participants",-1,"NOUN",3,"NSUBJ",2,"participant tonight","participant tonight donald"
"tonight","tonight",-1,"NOUN",1,"TMOD",2,"tonight donald","tonight donald trump"
"donald","Donald",-1,"NOUN",5,"NN",2,"donald trump","donald trump hillary"
"trump","Trump",-1,"NOUN",3,"ATTR",2,"trump hillary","trump hillary clinton"
"hillary","Hillary",-1,"NOUN",8,"NN",2,"hillary clinton","hillary clinton debate"
"clinton","Clinton",-1,"NOUN",5,"CONJ",2,"clinton debate","clinton debate sponsore"
"debate","debate",-1,"NOUN",13,"NSUBJPASS",2,"debate sponsore","debate sponsore commission"
"sponsore","sponsored",-1,"VERB",13,"ROOT",2,"sponsore commission","sponsore commission presidential"
"commission","Commission",-1,"NOUN",14,"POBJ",2,"commission presidential","commission presidential debates"
"presidential","Presidential",-1,"NOUN",19,"NN",2,"presidential debates","presidential debates nonpartisan"
"debates","Debates",-1,"NOUN",17,"POBJ",2,"debates nonpartisan","debates nonpartisan nonprofit"
"nonpartisan","nonpartisan",-1,"ADJ",25,"AMOD",2,"nonpartisan nonprofit","nonpartisan nonprofit organization"
"nonprofit","nonprofit",-1,"ADJ",25,"AMOD",2,"nonprofit organization","nonprofit organization commission"
"organization","organization",-1,"NOUN",19,"APPOS",2,"organization commission","organization commission draft"
"commission","commission",-1,"NOUN",29,"NSUBJ",2,"commission draft","commission draft tonight"
"draft","drafted",-1,"VERB",29,"ROOT",2,"draft tonight","draft tonight format"
"tonight","tonight",-1,"NOUN",32,"POSS",2,"tonight format","tonight format rule"
"format","format",-1,"NOUN",29,"DOBJ",2,"format rule","format rule agree"
"rule","rules",-1,"NOUN",39,"NSUBJPASS",2,"rule agree","rule agree campaign"
"agree","agreed",-1,"VERB",29,"CONJ",2,"agree campaign",NA
"campaign","campaigns",-1,"NOUN",41,"POBJ",2,NA,NA
"minute","minute",-1,"NOUN",4,"NN",3,"minute debate","minute debate divide"
"debate","debate",-1,"NOUN",6,"NSUBJPASS",3,"debate divide","debate divide segment"
"divide","divided",-1,"VERB",6,"ROOT",3,"divide segment","divide segment minute"
"segment","segments",-1,"NOUN",7,"POBJ",3,"segment minute","segment minute long"
"minute","minutes",-1,"NOUN",14,"NPADVMOD",3,"minute long","minute long we"
"long","long",-1,"ADV",9,"ADVMOD",3,"long we","long we will"
"we","We",-1,"PRON",18,"NSUBJ",3,"we will","we will explore"
"will","'ll",-1,"VERB",18,"AUX",3,"will explore","will explore topic"
"explore","explore",-1,"VERB",18,"ROOT",3,"explore topic","explore topic area"
"topic","topic",-1,"NOUN",21,"NN",3,"topic area","topic area tonight"
"area","areas",-1,"NOUN",18,"DOBJ",3,"area tonight","area tonight achieve"
"tonight","tonight",-1,"NOUN",18,"TMOD",3,"tonight achieve","tonight achieve prosperity"
"achieve","Achieving",-1,"VERB",25,"AMOD",3,"achieve prosperity","achieve prosperity america"
"prosperity","prosperity",-1,"NOUN",18,"DOBJ",3,"prosperity america","prosperity america direction"
"america","America",-1,"NOUN",29,"POSS",3,"america direction","america direction secure"
"direction","direction",-1,"NOUN",25,"CONJ",3,"direction secure","direction secure america"
"secure","securing",-1,"VERB",25,"CONJ",3,"secure america","secure america start"
"america","America",-1,"NOUN",32,"DOBJ",3,"america start","america start segment"
"start","start",-1,"NOUN",35,"POBJ",3,"start segment","start segment i"
"segment","segment",-1,"NOUN",38,"POBJ",3,"segment i","segment i will"
"i","I",-1,"PRON",44,"NSUBJ",3,"i will","i will ask"
"will","will",-1,"VERB",44,"AUX",3,"will ask","will ask lead"
"ask","ask",-1,"VERB",44,"ROOT",3,"ask lead","ask lead question"
"lead","lead",-1,"NOUN",49,"DEP",3,"lead question","lead question candidate"
"question","question",-1,"NOUN",44,"DOBJ",3,"question candidate","question candidate will"
"candidate","candidates",-1,"NOUN",51,"POBJ",3,"candidate will","candidate will minute"
"will","will",-1,"VERB",59,"AUX",3,"will minute","will minute respond"
"minute","minutes",-1,"NOUN",61,"POBJ",3,"minute respond","minute respond point"
"respond","respond",-1,"VERB",59,"XCOMP",3,"respond point","respond point end"
"point","point",-1,"NOUN",67,"POBJ",3,"point end","point end segment"
"end","end",-1,"NOUN",70,"POBJ",3,"end segment","end segment will"
"segment","segment",-1,"NOUN",73,"POBJ",3,"segment will","segment will open"
"will","'ll",-1,"VERB",79,"AUX",3,"will open","will open discussion"
"open","open",-1,"ADJ",82,"AMOD",3,"open discussion",NA
"discussion","discussion",-1,"NOUN",79,"DOBJ",3,NA,NA
"question","questions",-1,"NOUN",2,"NSUBJ",4,"question mine","question mine share"
"mine","mine",-1,"PRON",2,"ATTR",4,"mine share","mine share commission"
"share","shared",-1,"VERB",2,"CONJ",4,"share commission","share commission campaign"
"commission","commission",-1,"NOUN",9,"POBJ",4,"commission campaign","commission campaign audience"
"campaign","campaigns",-1,"NOUN",11,"CONJ",4,"campaign audience","campaign audience room"
"audience","audience",-1,"NOUN",23,"NSUBJ",4,"audience room","audience room agree"
"room","room",-1,"NOUN",19,"POBJ",4,"room agree","room agree remain"
"agree","agreed",-1,"VERB",23,"ROOT",4,"agree remain","agree remain silent"
"remain","remain",-1,"VERB",23,"XCOMP",4,"remain silent","remain silent can"
"silent","silent",-1,"ADJ",25,"ACOMP",4,"silent can","silent can focus"
"can","can",-1,"VERB",31,"AUX",4,"can focus","can focus candidate"
"focus","focus",-1,"VERB",25,"ADVCL",4,"focus candidate","focus candidate say"
"candidate","candidates",-1,"NOUN",37,"NSUBJ",4,"candidate say",NA
"say","saying",-1,"VERB",32,"PCOMP",4,NA,NA
"i","I",-1,"PRON",2,"NSUBJ",5,"i will","i will invite"
"will","will",-1,"VERB",2,"AUX",5,"will invite","will invite applaud"
"invite","invite",-1,"VERB",2,"ROOT",5,"invite applaud","invite applaud however"
"applaud","applaud",-1,"VERB",2,"XCOMP",5,"applaud however","applaud however moment"
